"file","test","passed","failed","errors","skipped","warnings","details"
"test-screen-2026-09-09.R","the vector count is exact, and agrees with enumerating them",480,0,0,0,0,""
"test-screen-2026-09-09.R","a block past the bound declines without enumerating it",2,0,0,0,0,""
"test-screen-2026-09-09.R","a block inside the bound is enumerated completely, and quickly",5,0,0,0,0,""
"test-screen-2026-09-09.R","a worst case on the floor is the REFINED floor, and says so",2,0,0,0,0,""
"test-screen-2026-09-09.R","a text cell cannot carry a precision past the clamp",3,0,0,0,0,""
"test-screen-2026-09-09.R","the CSV keeps its digits whatever case the header is written in",8,0,0,0,0,""
"test-screen-2026-09-09.R","a CSV with a blank column header is read, not refused",3,0,0,0,0,""
"test-screen-2026-09-09.R","the unresolved note gives the reason that actually applied",2,0,0,0,0,""
"test-screen-2026-09-09.R","the statistic computed in whole columns is the engine's own",4,0,0,0,0,""
"test-screen-2026-09-09.R","an ordinary percentage block is analysed inside the parse budget",5,0,0,0,0,""
"test-screen-2026-09-09.R","the cost does not grow with the number of distinct nulls",4,0,0,0,0,""
