"file","test","passed","failed","errors","skipped","warnings","details"
"test-api-service.R","the service honors the whole issue-1 contract",21,0,0,0,0,""
"test-api-service.R","the service reads a JATS XML article, end to end",13,0,0,0,0,""
"test-api-service.R","the auth helper is strict about tokens",8,0,0,0,0,""
"test-api-service.R","hashed registry entries authorize without storing plaintext",6,0,0,0,0,""
"test-api-service.R","the BYOK key is scrubbed from parse failure text",2,0,0,0,0,""
"test-api-service.R","the RESULTS csv neutralizes formula injection",2,0,0,0,0,""
"test-api-service.R","the TEMPLATE csv stays verbatim - the round trip must close",3,0,0,0,0,""
"test-api-service.R","the CSV sanitizer covers all four Excel trigger characters",5,0,0,0,0,""
"test-api-service.R",".apiAnalyze rejects an oversized table before simulating",3,0,0,0,0,""
"test-api-service.R","the AI key never enters the child options blob (M4)",5,0,0,0,0,""
"test-api-service.R","parseOne.R folds the env-var key back into the parse args (M4)",2,0,0,0,0,""
"test-api-service.R","the decompression-bomb preflight rejects an over-inflating zip",3,0,0,0,0,""
"test-api-service.R","the size verdict decides every branch correctly",10,0,0,0,0,""
"test-api-service.R","an oversized upload is refused 413 over HTTP",4,0,0,0,0,""
"test-api-service.R","the analyze gate also bounds arm N and column count",4,0,0,0,0,""
"test-api-service.R","the zip preflight does not fall open on a non-zip xlsx",5,0,0,0,0,""
"test-api-service.R","the AI key reaches a REAL spawned child through the environment",2,0,0,0,0,""
"test-api-service.R","a custom error handler is registered, so 500s leak nothing",3,0,0,0,0,""
"test-api-service.R","/analyze names the FAIL-SAFE rows in its own reply (screen 1609, F2)",6,0,0,0,0,""
"test-api-service.R","/analyze returns the journal-style table per trial",5,0,0,0,0,""
"test-api-service.R","CSV sanitizing covers COLUMN NAMES, not just cell values",8,0,0,0,0,""
"test-api-service.R","journalTables carry the sanitizing too",23,0,0,0,0,""
"test-api-service.R","gate bypasses via column NAMING are closed",8,0,0,0,0,""
"test-api-service.R","a partial-matching column name cannot crash validation",2,0,0,0,0,""
"test-api-service.R","the compute budget covers CATEGORICAL work too",5,0,0,0,0,""
"test-api-service.R","the size gates see N whatever the header calls it",7,0,0,0,0,""
"test-api-service.R","ordinary trials in the thousands are ACCEPTED",6,0,0,0,0,""
"test-api-service.R","the compute-product gate refuses what the size gates allow",17,0,0,0,0,""
"test-api-service.R","the journal-size estimate grows with category expansion",5,0,0,0,0,""
"test-api-service.R","an ordinary table still gets its journal tables",3,0,0,0,0,""
"test-api-service.R","a multipart part not named file is a 422 request error, not a 500 (security audit 2026-09-10, S4)",11,0,0,0,0,""
"test-api-service.R","a structural issue's row serialises as JSON null, not the string NA (audit 2026-09-10 full, F3)",8,0,0,0,0,""
"test-api-service.R","a trial past the pool ceiling is a 422 at the analysis stage on the wire (screen 1523)",6,0,0,0,0,""
"test-api-service.R","a template past the row limit is a 422 on /parse, not a templateCsv of thousands of lines (screen 1628 F1)",5,0,0,0,0,""
"test-api-service.R","two trials whose 201-byte ids share their first 200 bytes stay two trials over real HTTP (audit 2026-09-11 full, F2)",9,0,0,0,0,""
"test-api-service.R","a category-relabelled fixture reads the same trial p over real HTTP (audit 2026-09-11 F1)",3,0,0,0,0,""
"test-api-service.R","a fixture with one categorical table transposed reads the same trial p over real HTTP (audit 2026-09-11 full, F1)",3,0,0,0,0,""
